<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UFC,5,20210204,110000,0.4,0.4,0.4,0.4,6556,0
UFC,5,20210204,112000,0.4,0.4,0.4,0.4,500,0
UFC,5,20210204,150000,0.368,0.368,0.368,0.368,3900,0
UFC,5,20210204,151000,0.368,0.368,0.368,0.368,1100,0
UFC,5,20210205,110000,0.35,0.35,0.35,0.35,7754,0
UFC,5,20210205,150000,0.352,0.352,0.352,0.352,1000,0
UFC,5,20210205,152500,0.352,0.352,0.352,0.352,500,0
UFC,5,20210208,110000,0.34,0.34,0.34,0.34,5575,0
UFC,5,20210208,150000,0.34,0.34,0.34,0.34,7563,0
UFC,5,20210209,110000,0.34,0.34,0.34,0.34,3209,0
UFC,5,20210210,150000,0.37,0.37,0.37,0.37,10,0
UFC,5,20210210,151000,0.37,0.37,0.37,0.37,1200,0
UFC,5,20210211,150000,0.34,0.34,0.34,0.34,4500,0
UFC,5,20210212,110000,0.34,0.34,0.34,0.34,12452,0
UFC,5,20210212,111000,0.34,0.34,0.34,0.34,828,0
UFC,5,20210212,112500,0.34,0.34,0.34,0.34,3000,0
UFC,5,20210212,150000,0.366,0.366,0.366,0.366,4310,0
UFC,5,20210215,110000,0.332,0.332,0.332,0.332,5287,0
UFC,5,20210215,150000,0.37,0.37,0.37,0.37,10,0
UFC,5,20210216,110000,0.352,0.352,0.352,0.352,368,0
UFC,5,20210216,150000,0.398,0.398,0.398,0.398,10,0
UFC,5,20210217,110000,0.39,0.39,0.39,0.39,6000,0
UFC,5,20210217,150000,0.372,0.372,0.372,0.372,166,0
UFC,5,20210218,110000,0.392,0.392,0.392,0.392,300,0
UFC,5,20210218,150000,0.38,0.38,0.38,0.38,1300,0
UFC,5,20210219,110000,0.372,0.372,0.372,0.372,300,0
UFC,5,20210222,110000,0.372,0.372,0.372,0.372,506,0
UFC,5,20210222,150000,0.372,0.372,0.372,0.372,3000,0
UFC,5,20210224,110000,0.36,0.36,0.36,0.36,7000,0
UFC,5,20210224,112000,0.36,0.36,0.36,0.36,970,0
UFC,5,20210225,110000,0.352,0.352,0.352,0.352,3400,0
UFC,5,20210225,112500,0.352,0.352,0.352,0.352,172,0
UFC,5,20210225,150000,0.36,0.36,0.36,0.36,2002,0
UFC,5,20210226,150000,0.36,0.36,0.36,0.36,100,0
UFC,5,20210301,110000,0.346,0.346,0.346,0.346,1160,0
UFC,5,20210302,150000,0.368,0.368,0.368,0.368,2590,0
UFC,5,20210302,151500,0.368,0.368,0.368,0.368,2572,0
UFC,5,20210303,110000,0.38,0.38,0.38,0.38,15817,0
UFC,5,20210303,150000,0.38,0.38,0.38,0.38,5534,0
UFC,5,20210304,150000,0.36,0.36,0.36,0.36,100,0
UFC,5,20210305,110000,0.36,0.36,0.36,0.36,1500,0
UFC,5,20210305,150000,0.36,0.36,0.36,0.36,1100,0
UFC,5,20210305,151000,0.36,0.36,0.36,0.36,1000,0
UFC,5,20210308,110000,0.35,0.35,0.35,0.35,1426,0
UFC,5,20210308,111500,0.35,0.35,0.35,0.35,2400,0
UFC,5,20210309,110000,0.35,0.35,0.35,0.35,18723,0
UFC,5,20210310,110000,0.34,0.34,0.34,0.34,5700,0
UFC,5,20210310,150000,0.35,0.35,0.35,0.35,3878,0
UFC,5,20210311,110000,0.34,0.34,0.34,0.34,23790,0
UFC,5,20210311,150000,0.34,0.34,0.34,0.34,3000,0
UFC,5,20210312,110000,0.33,0.33,0.33,0.33,1116,0
UFC,5,20210312,110500,0.33,0.33,0.33,0.33,3600,0
UFC,5,20210312,150000,0.36,0.36,0.36,0.36,1000,0
UFC,5,20210315,150000,0.36,0.36,0.36,0.36,1000,0
UFC,5,20210316,110000,0.33,0.33,0.33,0.33,10000,0
UFC,5,20210316,150000,0.388,0.388,0.388,0.388,990,0
UFC,5,20210316,152500,0.388,0.388,0.388,0.388,1750,0
UFC,5,20210317,110000,0.378,0.378,0.378,0.378,3500,0
UFC,5,20210317,150000,0.378,0.378,0.378,0.378,2661,0
UFC,5,20210317,151000,0.378,0.378,0.378,0.378,339,0
UFC,5,20210319,150000,0.35,0.35,0.35,0.35,820,0
UFC,5,20210322,110000,0.38,0.38,0.38,0.38,6920,0
UFC,5,20210322,150000,0.38,0.38,0.38,0.38,10420,0
UFC,5,20210323,110000,0.39,0.39,0.39,0.39,500,0
UFC,5,20210324,110000,0.39,0.39,0.39,0.39,1000,0
UFC,5,20210324,150000,0.38,0.38,0.38,0.38,8000,0
UFC,5,20210325,110000,0.35,0.35,0.35,0.35,2847,0
UFC,5,20210325,150000,0.39,0.39,0.39,0.39,100,0
UFC,5,20210326,110000,0.38,0.38,0.38,0.38,10000,0
UFC,5,20210326,150000,0.37,0.37,0.37,0.37,7000,0
UFC,5,20210326,151500,0.37,0.37,0.37,0.37,672,0
