<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNL,5,20210204,090000,20.72,20.72,20.72,20.72,1,0
UNL,5,20210204,092000,21.3,21.3,21.3,21.3,10,0
UNL,5,20210204,092500,20.81,20.81,20.72,20.72,336,0
UNL,5,20210204,093500,20.72,20.72,20.72,20.72,100,0
UNL,5,20210204,094500,20.68,20.68,20.2,20.2,1020,0
UNL,5,20210204,100000,20.2,20.8,20.2,20.8,110,0
UNL,5,20210204,105500,20.85,20.85,20.85,20.85,10,0
UNL,5,20210204,114500,20.45,20.45,20.23,20.23,150,0
UNL,5,20210204,120000,20.55,20.55,20.5,20.5,215,0
UNL,5,20210204,122500,20.5,20.5,20.23,20.23,120,0
UNL,5,20210204,123500,20.69,20.785,20.69,20.785,232,0
UNL,5,20210204,124000,20.785,20.79,20.7,20.7,188,0
UNL,5,20210204,132000,20.3,20.3,20.3,20.3,100,0
UNL,5,20210204,140500,20.77,20.79,20.77,20.79,120,0
UNL,5,20210204,145500,20.34,20.34,20.34,20.34,60,0
UNL,5,20210204,151000,20.35,20.35,20.25,20.25,128,0
UNL,5,20210204,151500,20.76,20.76,20.76,20.76,80,0
UNL,5,20210204,152000,20.76,20.76,20.76,20.76,17,0
UNL,5,20210204,163000,20.71,20.78,20.5,20.5,225,0
UNL,5,20210204,163500,20.5,20.5,20.5,20.5,150,0
UNL,5,20210204,164500,20.77,20.77,20.77,20.77,62,0
UNL,5,20210205,090000,20,20,20,20,1151,0
UNL,5,20210205,091500,20.45,20.45,20.45,20.45,1,0
UNL,5,20210205,092500,20.45,20.45,20.45,20.45,24,0
UNL,5,20210205,093000,20.5,20.5,20.5,20.5,20,0
UNL,5,20210205,094500,20.55,20.59,20.55,20.59,100,0
UNL,5,20210205,095000,20.5,20.5,20,20,676,0
UNL,5,20210205,100000,20,20,20,20,324,0
UNL,5,20210205,100500,20.57,20.57,20.57,20.57,20,0
UNL,5,20210205,102500,20.5,20.5,20.5,20.5,24,0
UNL,5,20210205,104500,20.48,20.5,20.48,20.5,100,0
UNL,5,20210205,111000,20.56,20.56,20.56,20.56,10,0
UNL,5,20210205,114000,20.56,20.78,20.56,20.78,220,0
UNL,5,20210205,120500,20.73,20.73,20.73,20.73,150,0
UNL,5,20210205,132500,20.78,20.78,20.78,20.78,130,0
UNL,5,20210205,133000,20.78,20.78,20.78,20.78,195,0
UNL,5,20210205,145500,20.7,20.78,20.7,20.78,100,0
UNL,5,20210205,153500,20.78,20.78,20.78,20.78,150,0
UNL,5,20210205,154000,20.78,20.78,20.78,20.78,9,0
UNL,5,20210205,155000,20.85,20.85,20.85,20.85,14,0
UNL,5,20210205,160000,20.8,20.8,20.8,20.8,50,0
UNL,5,20210208,090000,20.8,20.8,20.8,20.8,47,0
UNL,5,20210208,093000,20.8,20.8,20.8,20.8,161,0
UNL,5,20210208,100000,20.85,20.85,20.85,20.85,5,0
UNL,5,20210208,100500,20.8,20.8,20,20,1020,0
UNL,5,20210208,114000,20.205,20.205,20.11,20.11,132,0
UNL,5,20210208,115000,20.495,20.495,20.495,20.495,20,0
UNL,5,20210208,125500,20.115,20.115,20.06,20.06,149,0
UNL,5,20210208,130000,20.06,20.06,20,20,725,0
UNL,5,20210208,133000,20,20,20,20,124,0
UNL,5,20210208,134000,20,20,20,20,50,0
UNL,5,20210208,135000,20,20,20,20,26,0
UNL,5,20210208,140500,20.37,20.37,20.37,20.37,30,0
UNL,5,20210208,142000,20.365,20.385,20.365,20.385,100,0
UNL,5,20210208,143000,20.385,20.5,20.385,20.5,35,0
UNL,5,20210208,151000,20.6,20.6,20.6,20.6,15,0
UNL,5,20210208,155000,20.3,20.3,20.3,20.3,50,0
UNL,5,20210208,160000,20.2,20.2,20.2,20.2,180,0
UNL,5,20210208,161500,20.11,20.11,20.11,20.11,40,0
UNL,5,20210208,164500,20.48,20.48,20.48,20.48,35,0
UNL,5,20210209,090500,20.01,20.01,20,20,125,0
UNL,5,20210209,091000,19.92,19.92,19.92,19.92,54,0
UNL,5,20210209,091500,19.93,19.93,19.8,19.8,290,0
UNL,5,20210209,093000,19.52,19.52,19.4,19.52,622,0
UNL,5,20210209,093500,19.52,19.52,19.52,19.52,114,0
UNL,5,20210209,101500,19.53,19.53,19.52,19.52,594,0
UNL,5,20210209,102000,19.52,19.52,19.52,19.52,394,0
UNL,5,20210209,103000,19.52,19.52,19.52,19.52,12,0
UNL,5,20210209,104000,20.06,20.065,20.06,20.065,200,0
UNL,5,20210209,104500,20.08,20.08,20.08,20.08,100,0
UNL,5,20210209,121000,19.98,19.99,19.98,19.99,143,0
UNL,5,20210209,131000,19.54,19.54,19.45,19.45,324,0
UNL,5,20210209,132500,19.42,19.5,19.41,19.5,256,0
UNL,5,20210209,133500,19.42,19.42,19.41,19.41,132,0
UNL,5,20210209,134000,19.41,19.41,19.4,19.4,394,0
UNL,5,20210209,135000,19.3,19.3,19.3,19.3,20,0
UNL,5,20210209,135500,19.3,19.5,19.25,19.25,147,0
UNL,5,20210209,141500,19.5,19.5,19.5,19.5,130,0
UNL,5,20210209,142000,19.3,19.3,19.25,19.25,890,0
UNL,5,20210209,142500,19.25,19.25,19.25,19.25,67,0
UNL,5,20210209,143000,19.25,19.5,19.25,19.5,260,0
UNL,5,20210209,143500,19.5,19.9,19.5,19.9,1153,0
UNL,5,20210209,154500,19.51,19.51,19.51,19.51,27,0
UNL,5,20210209,160500,19.7,19.8,19.7,19.8,540,0
UNL,5,20210209,161500,19.8,19.8,19.8,19.8,182,0
UNL,5,20210209,164500,19.53,19.79,19.5,19.79,320,0
UNL,5,20210210,090000,19.44,19.44,19.44,19.44,75,0
UNL,5,20210210,091000,19.45,19.45,19.45,19.45,30,0
UNL,5,20210210,091500,19.45,19.45,19.45,19.45,340,0
UNL,5,20210210,093000,19.5,19.5,19.5,19.5,500,0
UNL,5,20210210,094500,19.51,19.51,19.5,19.5,70,0
UNL,5,20210210,095000,19.5,19.5,19.5,19.5,470,0
UNL,5,20210210,095500,19.5,19.5,19.5,19.5,9,0
UNL,5,20210210,100000,19.69,19.69,19.69,19.69,11,0
UNL,5,20210210,101000,19.69,19.7,19.69,19.7,314,0
UNL,5,20210210,103000,19.7,19.98,19.69,19.98,178,0
UNL,5,20210210,103500,19.98,19.98,19.98,19.98,9,0
UNL,5,20210210,104500,20,20.17,20,20.17,2,0
UNL,5,20210210,110500,20,20,20,20,30,0
UNL,5,20210210,122500,20.14,20.16,20.14,20.16,80,0
UNL,5,20210210,124500,20.16,20.18,20.16,20.18,25,0
UNL,5,20210210,125000,20.18,20.5,20.18,20.5,299,0
UNL,5,20210210,125500,20.5,20.6,20.5,20.6,321,0
UNL,5,20210210,130000,20.92,23.1,20.92,23.1,5097,0
UNL,5,20210210,130500,21.485,21.485,20.6,20.6,400,0
UNL,5,20210210,131000,20.93,20.93,20.93,20.93,150,0
UNL,5,20210210,132000,21.35,21.35,21.35,21.35,25,0
UNL,5,20210210,133500,21.35,21.35,21.33,21.33,10,0
UNL,5,20210210,134000,21.11,21.11,20.91,20.91,141,0
UNL,5,20210210,135000,20.77,20.77,20.72,20.72,450,0
UNL,5,20210210,140500,20.76,20.76,20.76,20.76,72,0
UNL,5,20210210,145000,21.96,21.96,21.96,21.96,10,0
UNL,5,20210210,150000,21.94,21.94,21.94,21.94,46,0
UNL,5,20210210,154000,21.15,21.15,21.12,21.12,100,0
UNL,5,20210210,160000,21.14,21.14,21.12,21.12,221,0
