<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UTD,5,20210204,091000,0.8,0.8,0.74,0.74,1900,0
UTD,5,20210204,095000,0.74,0.74,0.73,0.73,1050,0
UTD,5,20210204,095500,0.73,0.73,0.73,0.73,1266,0
UTD,5,20210204,100000,0.73,0.73,0.73,0.73,4684,0
UTD,5,20210204,100500,0.75,0.75,0.75,0.75,200,0
UTD,5,20210204,101000,0.76,0.8,0.76,0.8,2000,0
UTD,5,20210204,134500,0.74,0.74,0.74,0.74,500,0
UTD,5,20210204,152000,0.8,0.81,0.8,0.81,314,0
UTD,5,20210205,090000,0.785,0.785,0.785,0.785,1500,0
UTD,5,20210205,105500,0.75,0.75,0.75,0.75,500,0
UTD,5,20210205,111000,0.74,0.74,0.74,0.74,500,0
UTD,5,20210205,114000,0.735,0.735,0.735,0.735,500,0
UTD,5,20210205,115000,0.72,0.72,0.72,0.72,800,0
UTD,5,20210205,121000,0.735,0.74,0.735,0.74,1130,0
UTD,5,20210205,143500,0.76,0.76,0.76,0.76,2000,0
UTD,5,20210205,153500,0.76,0.77,0.76,0.77,1409,0
UTD,5,20210205,155000,0.74,0.74,0.74,0.74,870,0
UTD,5,20210205,161500,0.74,0.74,0.74,0.74,1000,0
UTD,5,20210205,163500,0.78,0.785,0.78,0.785,201,0
UTD,5,20210205,164500,0.73,0.73,0.73,0.73,1900,0
UTD,5,20210208,091000,0.71,0.71,0.65,0.65,10000,0
UTD,5,20210208,092500,0.68,0.68,0.68,0.68,1000,0
UTD,5,20210208,094000,0.71,0.72,0.71,0.72,220,0
UTD,5,20210208,094500,0.71,0.74,0.71,0.74,2292,0
UTD,5,20210208,101000,0.72,0.74,0.66,0.74,3005,0
UTD,5,20210208,113500,0.725,0.73,0.725,0.73,500,0
UTD,5,20210208,121500,0.68,0.68,0.68,0.68,500,0
UTD,5,20210208,132500,0.69,0.69,0.69,0.69,2000,0
UTD,5,20210208,135000,0.68,0.68,0.68,0.68,1400,0
UTD,5,20210208,135500,0.68,0.68,0.68,0.68,70,0
UTD,5,20210208,145500,0.68,0.68,0.68,0.68,30,0
UTD,5,20210208,152500,0.67,0.725,0.67,0.725,835,0
UTD,5,20210208,153000,0.725,0.725,0.725,0.725,1000,0
UTD,5,20210208,153500,0.67,0.67,0.67,0.67,100,0
UTD,5,20210208,155000,0.725,0.725,0.725,0.725,3000,0
UTD,5,20210209,090000,0.655,0.655,0.65,0.65,4196,0
UTD,5,20210209,090500,0.66,0.725,0.66,0.725,7267,0
UTD,5,20210209,091000,0.725,0.73,0.725,0.73,1500,0
UTD,5,20210209,092500,0.74,0.74,0.74,0.74,3000,0
UTD,5,20210209,094500,0.75,0.77,0.73,0.73,2050,0
UTD,5,20210209,102000,0.725,0.725,0.725,0.725,5039,0
UTD,5,20210209,111500,0.77,0.77,0.77,0.77,180,0
UTD,5,20210209,113000,0.76,0.76,0.76,0.76,50,0
UTD,5,20210209,114000,0.725,0.725,0.65,0.65,19671,0
UTD,5,20210209,114500,0.655,0.7,0.655,0.7,670,0
UTD,5,20210209,123000,0.68,0.68,0.61,0.65,17660,0
UTD,5,20210209,150000,0.695,0.695,0.695,0.695,100,0
UTD,5,20210209,151000,0.7,0.7,0.7,0.7,500,0
UTD,5,20210209,151500,0.7,0.7,0.7,0.7,1050,0
UTD,5,20210209,152500,0.7,0.7,0.7,0.7,450,0
UTD,5,20210210,090500,0.71,0.72,0.71,0.72,1000,0
UTD,5,20210210,100000,0.73,0.74,0.73,0.74,6000,0
UTD,5,20210210,114500,0.7,0.7,0.7,0.7,300,0
UTD,5,20210210,125000,0.7,0.7,0.7,0.7,1390,0
UTD,5,20210210,131000,0.7,0.7,0.7,0.7,2000,0
UTD,5,20210210,144500,0.7,0.7,0.7,0.7,2000,0
UTD,5,20210210,152000,0.74,0.74,0.74,0.74,14,0
UTD,5,20210210,153000,0.74,0.74,0.74,0.74,2000,0
UTD,5,20210210,153500,0.74,0.74,0.74,0.74,2000,0
UTD,5,20210210,154000,0.74,0.77,0.7,0.7,13036,0
UTD,5,20210210,154500,0.7,0.7,0.7,0.7,11000,0
UTD,5,20210210,155000,0.7,0.7,0.7,0.7,1,0
UTD,5,20210210,160000,0.695,0.695,0.695,0.695,5000,0
UTD,5,20210210,161500,0.695,0.695,0.685,0.685,1400,0
UTD,5,20210210,163500,0.71,0.71,0.71,0.71,50,0
UTD,5,20210211,090000,0.695,0.695,0.665,0.665,5050,0
UTD,5,20210211,091000,0.69,0.69,0.69,0.69,242,0
UTD,5,20210211,094500,0.69,0.7,0.69,0.7,1000,0
UTD,5,20210211,101500,0.675,0.675,0.675,0.675,2950,0
UTD,5,20210211,105000,0.67,0.67,0.67,0.67,341,0
UTD,5,20210211,105500,0.67,0.67,0.67,0.67,758,0
UTD,5,20210211,124500,0.695,0.7,0.695,0.7,2099,0
UTD,5,20210211,133500,0.7,0.7,0.7,0.7,951,0
UTD,5,20210211,134500,0.675,0.675,0.675,0.675,5099,0
UTD,5,20210211,135500,0.71,0.71,0.675,0.675,1337,0
UTD,5,20210211,140500,0.7,0.7,0.7,0.7,100,0
UTD,5,20210211,141000,0.7,0.71,0.7,0.71,2009,0
