<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VAB,5,20210204,090000,3.85,4.1,3.85,4.08,7005,0
VAB,5,20210204,091000,3.8,3.8,3.6,3.6,2765,0
VAB,5,20210204,092000,3.6,3.6,3.6,3.6,305,0
VAB,5,20210204,092500,3.5,3.5,3.4,3.4,164,0
VAB,5,20210204,093000,3.65,3.65,3.65,3.65,1,0
VAB,5,20210204,093500,3.5,3.5,3.5,3.5,7,0
VAB,5,20210204,094500,3.64,3.64,3.64,3.64,2000,0
VAB,5,20210204,095000,3.55,3.6,3.55,3.6,1007,0
VAB,5,20210204,101500,3.72,3.8,3.72,3.8,1013,0
VAB,5,20210204,102000,3.8,3.81,3.68,3.81,1020,0
VAB,5,20210204,105000,3.7,3.74,3.61,3.61,975,0
VAB,5,20210204,105500,3.8,3.83,3.66,3.66,651,0
VAB,5,20210204,110000,3.66,3.66,3.64,3.64,800,0
VAB,5,20210204,110500,3.65,3.65,3.64,3.64,88,0
VAB,5,20210204,121500,3.76,3.76,3.76,3.76,20,0
VAB,5,20210204,122000,3.77,3.83,3.6,3.6,5843,0
VAB,5,20210204,122500,3.6,3.6,3.6,3.6,450,0
VAB,5,20210204,123000,3.6,3.7,3.54,3.7,3033,0
VAB,5,20210204,140000,3.68,3.85,3.68,3.85,1550,0
VAB,5,20210204,140500,3.74,3.74,3.53,3.53,149,0
VAB,5,20210204,141000,3.68,3.8,3.56,3.56,109,0
VAB,5,20210204,141500,3.7,3.7,3.63,3.63,41,0
VAB,5,20210204,151000,3.8,3.8,3.8,3.8,50,0
VAB,5,20210204,152500,3.63,3.63,3.61,3.61,21,0
VAB,5,20210204,154000,3.8,3.8,3.8,3.8,2,0
VAB,5,20210204,162500,3.79,3.79,3.79,3.79,500,0
VAB,5,20210204,163500,3.79,3.79,3.79,3.79,300,0
VAB,5,20210204,164500,3.6,3.6,3.6,3.6,10,0
VAB,5,20210205,091500,3.8,3.9,3.8,3.9,2287,0
VAB,5,20210205,092000,3.9,3.9,3.66,3.66,141,0
VAB,5,20210205,093000,3.74,3.74,3.66,3.66,700,0
VAB,5,20210205,094500,3.75,3.75,3.75,3.75,200,0
VAB,5,20210205,110000,3.75,3.75,3.75,3.75,100,0
VAB,5,20210205,130000,3.75,3.75,3.75,3.75,35,0
VAB,5,20210205,143500,3.64,3.64,3.6,3.6,1425,0
VAB,5,20210205,164000,3.69,3.69,3.69,3.69,1,0
VAB,5,20210205,164500,3.55,3.69,3.51,3.69,1541,0
VAB,5,20210208,090000,3.2,3.4,3.2,3.2,1490,0
VAB,5,20210208,091000,3.4,3.4,3.4,3.4,20,0
VAB,5,20210208,092000,3.4,3.4,3.4,3.4,20,0
VAB,5,20210208,093000,3.33,3.4,3.3,3.3,918,0
VAB,5,20210208,093500,3.3,3.3,3.22,3.22,550,0
VAB,5,20210208,094000,3.32,3.32,3.32,3.32,1,0
VAB,5,20210208,095500,3.32,3.5,3.32,3.5,700,0
VAB,5,20210208,100000,3.52,3.52,3.4,3.44,101,0
VAB,5,20210208,111500,3.44,3.44,3.44,3.44,100,0
VAB,5,20210208,113000,3.35,3.35,3.35,3.35,139,0
VAB,5,20210208,120000,3.44,3.44,3.44,3.44,1,0
VAB,5,20210208,120500,3.35,3.35,3.35,3.35,397,0
VAB,5,20210208,122000,3.31,3.32,3.24,3.32,965,0
VAB,5,20210208,124000,3.23,3.23,3.2,3.2,1372,0
VAB,5,20210208,124500,3.2,3.2,3.1,3.1,1429,0
VAB,5,20210208,130000,3.2,3.24,3.2,3.24,71,0
VAB,5,20210208,132000,3.26,3.28,3.26,3.28,119,0
VAB,5,20210208,133000,3.24,3.24,3.24,3.24,20,0
VAB,5,20210208,144000,3.24,3.24,3.24,3.24,400,0
VAB,5,20210208,160000,3.14,3.14,3.1,3.1,7600,0
VAB,5,20210208,161000,3.2,3.24,3.2,3.24,100,0
VAB,5,20210208,162000,3.2,3.2,3.1,3.1,918,0
VAB,5,20210208,163000,3.1,3.1,3.03,3.03,1230,0
VAB,5,20210208,163500,3.05,3.05,3.01,3.01,2500,0
VAB,5,20210208,164500,3.12,3.12,3.01,3.03,2863,0
VAB,5,20210209,092000,3.1,3.16,3.1,3.16,1265,0
VAB,5,20210209,092500,3.16,3.18,3.16,3.18,600,0
VAB,5,20210209,093500,3.08,3.08,3.07,3.07,150,0
VAB,5,20210209,095500,3.04,3.04,3.04,3.04,920,0
VAB,5,20210209,100000,3.1,3.1,3.1,3.1,1000,0
VAB,5,20210209,110500,3.04,3.04,3.03,3.03,570,0
VAB,5,20210209,111000,3.03,3.03,3.01,3.01,1000,0
VAB,5,20210209,111500,3.02,3.02,3.02,3.02,20,0
VAB,5,20210209,114500,3.09,3.09,3.09,3.09,46,0
VAB,5,20210209,120000,3.08,3.08,3.08,3.08,400,0
VAB,5,20210209,120500,3.08,3.08,3.08,3.08,10,0
VAB,5,20210210,090000,3.12,3.12,3.12,3.12,5,0
VAB,5,20210210,113000,3.1,3.12,3.1,3.12,1180,0
VAB,5,20210210,114000,3.12,3.12,3.12,3.12,500,0
VAB,5,20210210,123500,3.12,3.12,3.12,3.12,20,0
VAB,5,20210210,132000,3.12,3.12,3.12,3.12,62,0
VAB,5,20210210,143500,3.12,3.12,3.12,3.12,63,0
VAB,5,20210210,150500,3.1,3.1,3.1,3.1,66,0
VAB,5,20210210,152000,3.1,3.1,3.1,3.1,284,0
VAB,5,20210210,153000,3.1,3.1,3.03,3.03,355,0
VAB,5,20210210,164500,3.12,3.12,3.12,3.12,63,0
VAB,5,20210211,092500,3.14,3.14,3.14,3.14,1,0
VAB,5,20210211,101500,3.14,3.16,3.14,3.16,21,0
VAB,5,20210211,104500,3.16,3.16,3.16,3.16,18,0
VAB,5,20210211,130000,3.17,3.34,3.17,3.34,2887,0
VAB,5,20210211,130500,3.34,3.34,3.34,3.34,85,0
VAB,5,20210211,132000,3.34,3.34,3.34,3.34,20,0
VAB,5,20210211,140500,3.34,3.34,3.34,3.34,54,0
VAB,5,20210211,150500,3.35,3.38,3.35,3.38,501,0
VAB,5,20210211,152000,3.36,3.36,3.36,3.36,1,0
VAB,5,20210211,160000,3.28,3.28,3.02,3.2,1008,0
VAB,5,20210212,101500,3.2,3.29,3.2,3.29,512,0
VAB,5,20210212,103000,3.2,3.2,3.2,3.2,20,0
VAB,5,20210212,105000,3.19,3.19,3.19,3.19,500,0
VAB,5,20210212,111000,3.19,3.19,3.19,3.19,10,0
VAB,5,20210212,111500,3.19,3.2,3.19,3.2,710,0
VAB,5,20210212,115000,3.14,3.14,3,3,420,0
VAB,5,20210212,115500,3,3,3,3,10,0
VAB,5,20210212,120000,3,3,3,3,66,0
VAB,5,20210212,120500,3,3,3,3,600,0
VAB,5,20210212,124000,3,3,3,3,904,0
VAB,5,20210212,155500,3.1,3.1,3.1,3.1,20,0
VAB,5,20210212,161000,3.02,3.02,3,3,1700,0
VAB,5,20210212,161500,3,3,3,3,300,0
VAB,5,20210212,164000,3.1,3.1,3.1,3.1,1000,0
VAB,5,20210212,164500,3.1,3.1,3.1,3.1,400,0
VAB,5,20210215,092000,3.18,3.19,3.18,3.19,40,0
VAB,5,20210215,092500,3.18,3.18,3.18,3.18,620,0
VAB,5,20210215,093000,3.18,3.18,3.18,3.18,75,0
VAB,5,20210215,121000,3.11,3.11,3.1,3.1,350,0
VAB,5,20210215,123000,3.1,3.1,3.04,3.04,500,0
VAB,5,20210215,142500,3.1,3.1,3.1,3.1,10,0
VAB,5,20210215,143000,3.1,3.1,3.1,3.1,38,0
VAB,5,20210215,143500,3.06,3.06,3.04,3.04,2500,0
VAB,5,20210215,144500,3.1,3.1,3.1,3.1,63,0
VAB,5,20210215,152000,3.09,3.09,3.09,3.09,1,0
VAB,5,20210215,163500,3.09,3.1,3.09,3.1,1540,0
VAB,5,20210215,164500,3.09,3.1,3.09,3.1,845,0
VAB,5,20210216,090000,3.1,3.17,3.1,3.17,288,0
VAB,5,20210216,092500,3.05,3.05,3.05,3.05,90,0
VAB,5,20210216,093000,3.03,3.05,3.01,3.05,1545,0
VAB,5,20210216,094000,3.05,3.15,3.05,3.14,1500,0
VAB,5,20210216,103000,3.11,3.11,2.6,2.76,11041,0
VAB,5,20210216,103500,2.88,2.88,2.88,2.88,200,0
VAB,5,20210216,104000,2.98,2.98,2.98,2.98,500,0
VAB,5,20210216,105000,2.98,2.98,2.48,2.52,9294,0
VAB,5,20210216,105500,2.72,2.94,2.69,2.94,1775,0
VAB,5,20210216,110000,2.88,2.92,2.88,2.92,100,0
VAB,5,20210216,110500,2.78,2.8,2.76,2.76,995,0
VAB,5,20210216,111000,2.89,2.89,2.89,2.89,50,0
VAB,5,20210216,113000,2.77,2.77,2.77,2.77,500,0
VAB,5,20210216,115000,2.88,2.88,2.88,2.88,300,0
VAB,5,20210216,115500,2.84,2.84,2.84,2.84,295,0
VAB,5,20210216,120500,2.84,2.84,2.84,2.84,1007,0
VAB,5,20210216,124000,2.84,2.85,2.84,2.85,18,0
VAB,5,20210216,124500,2.96,2.96,2.96,2.96,10,0
VAB,5,20210216,135000,2.96,2.96,2.96,2.96,27,0
VAB,5,20210216,145500,2.96,2.96,2.96,2.96,100,0
VAB,5,20210216,160500,2.96,2.96,2.96,2.96,500,0
VAB,5,20210216,164000,2.87,2.87,2.86,2.86,1300,0
VAB,5,20210216,164500,2.86,2.86,2.86,2.86,370,0
VAB,5,20210217,091000,2.94,2.94,2.94,2.94,9,0
VAB,5,20210217,100500,2.94,3.08,2.94,3.08,575,0
VAB,5,20210217,101000,3.09,3.09,3.09,3.09,430,0
VAB,5,20210217,114500,2.94,2.94,2.94,2.94,2,0
VAB,5,20210217,115000,3,3,3,3,320,0
VAB,5,20210217,140500,2.95,2.95,2.94,2.94,769,0
VAB,5,20210217,145000,2.94,2.94,2.94,2.94,100,0
VAB,5,20210217,145500,2.94,2.94,2.94,2.94,100,0
VAB,5,20210217,150500,2.99,2.99,2.99,2.99,20,0
VAB,5,20210217,155000,3,3,3,3,230,0
VAB,5,20210217,155500,3,3,3,3,50,0
VAB,5,20210217,163500,3,3,3,3,300,0
VAB,5,20210217,164000,3.04,3.04,3.04,3.04,12,0
VAB,5,20210218,093500,3.06,3.06,3.06,3.06,500,0
VAB,5,20210218,095000,3.07,3.44,3.07,3.44,4660,0
VAB,5,20210218,095500,3.4,3.65,3.4,3.65,200,0
VAB,5,20210218,100000,3.4,3.4,3.4,3.4,100,0
VAB,5,20210218,100500,3.4,3.4,3.4,3.4,50,0
VAB,5,20210218,102500,3.3,3.3,3.3,3.3,40,0
VAB,5,20210218,123500,3.2,3.3,3.2,3.3,106,0
VAB,5,20210218,150000,3.25,3.25,3.25,3.25,25,0
VAB,5,20210218,155500,3.2,3.2,3.2,3.2,130,0
VAB,5,20210218,160000,3.2,3.2,3.2,3.2,20,0
VAB,5,20210219,090000,3.6,3.6,3.5,3.5,9603,0
VAB,5,20210219,090500,3.43,3.43,3.42,3.43,1450,0
VAB,5,20210219,091000,3.5,3.5,3.43,3.49,2100,0
VAB,5,20210219,091500,3.5,3.5,3.5,3.5,736,0
VAB,5,20210219,092000,3.49,3.5,3.49,3.5,1200,0
VAB,5,20210219,092500,3.5,3.5,3.49,3.49,1130,0
VAB,5,20210219,093000,3.44,3.44,3.42,3.42,1745,0
VAB,5,20210219,094000,3.44,3.44,3.44,3.44,100,0
VAB,5,20210219,100500,3.44,3.44,3.44,3.44,250,0
VAB,5,20210219,103000,3.44,3.44,3.44,3.44,600,0
VAB,5,20210219,110000,3.45,3.45,3.45,3.45,170,0
VAB,5,20210219,121500,3.4,3.49,3.4,3.49,5656,0
VAB,5,20210219,122000,3.5,3.5,3.5,3.5,760,0
VAB,5,20210219,122500,3.49,3.52,3.49,3.5,4302,0
VAB,5,20210219,123000,3.56,3.56,3.56,3.56,10,0
VAB,5,20210219,125500,3.55,3.55,3.55,3.55,500,0
VAB,5,20210219,130000,3.55,3.55,3.55,3.55,67,0
VAB,5,20210219,130500,3.48,3.48,3.45,3.45,2862,0
VAB,5,20210219,131000,3.55,3.55,3.55,3.55,10,0
VAB,5,20210219,133000,3.5,3.5,3.5,3.5,595,0
VAB,5,20210219,133500,3.5,3.5,3.5,3.5,3000,0
VAB,5,20210219,140500,3.4,3.5,3.4,3.5,200,0
VAB,5,20210219,142000,3.4,3.4,3.4,3.4,30,0
