<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VAR,5,20210204,090000,1.776,1.776,1.72,1.72,8259,0
VAR,5,20210204,090500,1.72,1.75,1.72,1.75,2180,0
VAR,5,20210204,091000,1.72,1.748,1.69,1.748,34166,0
VAR,5,20210204,091500,1.712,1.712,1.68,1.68,9915,0
VAR,5,20210204,092000,1.67,1.68,1.64,1.64,22636,0
VAR,5,20210204,092500,1.68,1.68,1.68,1.68,19761,0
VAR,5,20210204,093000,1.692,1.7,1.692,1.7,5248,0
VAR,5,20210204,093500,1.728,1.728,1.728,1.728,2291,0
VAR,5,20210204,094000,1.728,1.73,1.728,1.73,2290,0
VAR,5,20210204,094500,1.73,1.73,1.73,1.73,2583,0
VAR,5,20210204,095000,1.73,1.74,1.73,1.74,3230,0
VAR,5,20210204,095500,1.73,1.73,1.7,1.7,17183,0
VAR,5,20210204,101000,1.726,1.726,1.726,1.726,500,0
VAR,5,20210204,101500,1.704,1.704,1.704,1.704,580,0
VAR,5,20210204,103000,1.706,1.706,1.706,1.706,1000,0
VAR,5,20210204,103500,1.706,1.706,1.704,1.704,1080,0
VAR,5,20210204,105000,1.708,1.708,1.704,1.704,1080,0
VAR,5,20210204,110500,1.738,1.738,1.738,1.738,1000,0
VAR,5,20210204,111000,1.706,1.706,1.706,1.706,1000,0
VAR,5,20210204,111500,1.704,1.704,1.704,1.704,80,0
VAR,5,20210204,112500,1.736,1.736,1.736,1.736,631,0
VAR,5,20210204,113000,1.708,1.708,1.706,1.706,449,0
VAR,5,20210204,114000,1.708,1.708,1.708,1.708,295,0
VAR,5,20210204,115000,1.706,1.706,1.706,1.706,785,0
VAR,5,20210204,115500,1.72,1.72,1.72,1.72,1000,0
VAR,5,20210204,120500,1.708,1.708,1.708,1.708,300,0
VAR,5,20210204,121000,1.706,1.706,1.706,1.706,780,0
VAR,5,20210204,122500,1.706,1.706,1.706,1.706,1080,0
VAR,5,20210204,123500,1.738,1.738,1.738,1.738,600,0
VAR,5,20210204,124000,1.708,1.708,1.7,1.7,11881,0
VAR,5,20210204,131500,1.73,1.738,1.73,1.738,2000,0
VAR,5,20210204,135500,1.738,1.738,1.738,1.738,1012,0
VAR,5,20210204,140500,1.74,1.758,1.74,1.758,2860,0
VAR,5,20210204,141000,1.758,1.758,1.758,1.758,1000,0
VAR,5,20210204,141500,1.758,1.758,1.758,1.758,2355,0
VAR,5,20210204,142500,1.758,1.76,1.758,1.76,730,0
VAR,5,20210204,144500,1.76,1.76,1.76,1.76,57,0
VAR,5,20210204,150500,1.76,1.76,1.76,1.76,3979,0
VAR,5,20210204,151000,1.762,1.762,1.762,1.762,1721,0
VAR,5,20210204,152500,1.786,1.848,1.786,1.848,4000,0
VAR,5,20210204,160500,1.824,1.824,1.824,1.824,1111,0
VAR,5,20210204,161000,1.826,1.826,1.82,1.82,812,0
VAR,5,20210204,161500,1.82,1.82,1.82,1.82,10,0
VAR,5,20210204,163500,1.782,1.782,1.76,1.76,5335,0
VAR,5,20210204,164000,1.788,1.824,1.788,1.824,1400,0
VAR,5,20210205,090000,1.822,1.822,1.822,1.822,162,0
VAR,5,20210205,091000,1.8,1.8,1.8,1.8,580,0
VAR,5,20210205,100500,1.81,1.81,1.81,1.81,200,0
VAR,5,20210205,111500,1.81,1.81,1.81,1.81,362,0
VAR,5,20210205,112000,1.816,1.822,1.816,1.822,1638,0
VAR,5,20210205,112500,1.828,1.87,1.828,1.87,6800,0
VAR,5,20210205,113000,1.87,1.87,1.87,1.87,1404,0
VAR,5,20210205,114000,1.87,1.87,1.87,1.87,1296,0
VAR,5,20210205,114500,1.89,1.89,1.89,1.89,1050,0
VAR,5,20210205,115500,1.87,1.87,1.87,1.87,99,0
VAR,5,20210205,120000,1.85,1.85,1.85,1.85,877,0
VAR,5,20210205,121000,1.85,1.85,1.822,1.822,700,0
VAR,5,20210205,122500,1.868,1.868,1.868,1.868,400,0
VAR,5,20210205,124500,1.868,1.868,1.868,1.868,253,0
VAR,5,20210205,132500,1.868,1.868,1.868,1.868,958,0
VAR,5,20210205,133500,1.87,1.88,1.87,1.88,1000,0
VAR,5,20210205,141000,1.868,1.868,1.86,1.86,3000,0
VAR,5,20210205,141500,1.86,1.86,1.82,1.82,350,0
VAR,5,20210205,145500,1.83,1.83,1.83,1.83,953,0
