<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VDS,5,20210204,091000,4.18,4.18,4.18,4.18,2,0
VDS,5,20210204,101500,3.78,3.78,3.78,3.78,530,0
VDS,5,20210204,144500,3.9,3.9,3.9,3.9,513,0
VDS,5,20210205,091000,4.16,4.16,4.16,4.16,2,0
VDS,5,20210205,121000,3.72,3.72,3.72,3.72,470,0
VDS,5,20210205,122000,3.78,4.16,3.78,4.16,531,0
VDS,5,20210208,090000,4.16,4.16,4.16,4.16,125,0
VDS,5,20210208,091500,3.72,3.72,3.72,3.72,500,0
VDS,5,20210208,093500,3.76,3.76,3.76,3.76,532,0
VDS,5,20210208,100500,3.72,3.72,3.7,3.7,576,0
VDS,5,20210208,110000,3.9,3.9,3.9,3.9,125,0
VDS,5,20210208,131000,3.9,3.9,3.9,3.9,500,0
VDS,5,20210209,090000,4.14,4.14,4.14,4.14,2,0
VDS,5,20210210,090000,4.14,4.14,4.14,4.14,2,0
VDS,5,20210211,090000,4.14,4.14,4.14,4.14,2,0
VDS,5,20210212,090000,4,4,4,4,2,0
VDS,5,20210212,145000,4,4.14,4,4.14,4035,0
VDS,5,20210212,145500,4.16,4.26,4.16,4.26,1750,0
VDS,5,20210212,152500,4.26,4.28,4.26,4.28,1000,0
VDS,5,20210212,155500,4.28,4.8,4.28,4.8,6380,0
VDS,5,20210212,160000,4.8,4.8,4.8,4.8,750,0
VDS,5,20210212,164000,4.68,4.7,4.68,4.7,120,0
VDS,5,20210212,164500,4.7,4.7,4.7,4.7,10,0
VDS,5,20210215,090000,4.7,4.7,4.68,4.68,906,0
VDS,5,20210215,090500,4.52,4.52,4.52,4.52,498,0
VDS,5,20210215,091000,4.68,4.68,4.68,4.68,84,0
VDS,5,20210215,094500,4.7,5.05,4.7,5.05,774,0
VDS,5,20210215,095000,5.55,5.55,5.55,5.55,500,0
VDS,5,20210215,101000,5.4,5.4,5.4,5.4,40,0
VDS,5,20210215,101500,5.4,5.4,5.4,5.4,150,0
VDS,5,20210215,105500,5.4,5.4,5.4,5.4,110,0
VDS,5,20210215,134500,5.05,5.35,5.05,5.35,811,0
VDS,5,20210215,150000,5.35,5.35,5.35,5.35,500,0
VDS,5,20210215,150500,5.35,5.35,5.35,5.35,184,0
VDS,5,20210215,151000,5.35,5.35,5.35,5.35,350,0
VDS,5,20210215,152500,5.35,5.35,5.35,5.35,276,0
VDS,5,20210215,154000,5.35,5.45,5.35,5.45,1012,0
VDS,5,20210215,162000,5.25,5.25,5.25,5.25,214,0
VDS,5,20210215,163500,5.45,5.45,5.45,5.45,110,0
