<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIA,5,20210215,150000,2.82,2.82,2.82,2.82,1065,0
VIA,5,20210218,110000,2.82,2.82,2.82,2.82,2000,0
VIA,5,20210222,150000,3.08,3.08,3.08,3.08,163,0
VIA,5,20210223,110000,3.38,3.38,3.38,3.38,232,0
VIA,5,20210224,110000,3.7,3.7,3.7,3.7,100,0
VIA,5,20210224,150000,3.7,3.7,3.7,3.7,45,0
VIA,5,20210302,110000,4,4,4,4,222,0
VIA,5,20210304,150000,4.2,4.2,4.2,4.2,108,0
VIA,5,20210305,150000,3.82,3.82,3.82,3.82,50,0
VIA,5,20210308,110000,3.82,3.82,3.82,3.82,84,0
VIA,5,20210308,150000,4.18,4.18,4.18,4.18,100,0
VIA,5,20210312,110000,3.8,3.8,3.8,3.8,84,0
VIA,5,20210312,150000,4.18,4.18,4.18,4.18,100,0
VIA,5,20210315,110000,3.8,3.8,3.8,3.8,123,0
VIA,5,20210315,150000,4.18,4.18,4.18,4.18,50,0
