<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIV,5,20210204,110000,0.033,0.033,0.033,0.033,22026,0
VIV,5,20210204,150000,0.035,0.035,0.035,0.035,442398,0
VIV,5,20210204,152000,0.035,0.035,0.035,0.035,50000,0
VIV,5,20210204,152500,0.035,0.035,0.035,0.035,20000,0
VIV,5,20210205,110000,0.0398,0.0398,0.0398,0.0398,65792,0
VIV,5,20210205,111000,0.0398,0.0398,0.0398,0.0398,15708,0
VIV,5,20210205,150000,0.0398,0.0398,0.0398,0.0398,50542,0
VIV,5,20210205,150500,0.0398,0.0398,0.0398,0.0398,40000,0
VIV,5,20210208,110000,0.04,0.04,0.04,0.04,24200,0
VIV,5,20210208,112500,0.04,0.04,0.04,0.04,25000,0
VIV,5,20210208,150000,0.0398,0.0398,0.0398,0.0398,1500,0
VIV,5,20210209,110000,0.0301,0.0301,0.0301,0.0301,5000,0
VIV,5,20210209,150000,0.0311,0.0311,0.0311,0.0311,8500,0
VIV,5,20210210,110000,0.04,0.04,0.04,0.04,4000,0
VIV,5,20210210,150000,0.04,0.04,0.04,0.04,269115,0
VIV,5,20210211,110000,0.042,0.042,0.042,0.042,82009,0
VIV,5,20210211,111000,0.042,0.042,0.042,0.042,6767,0
VIV,5,20210211,112500,0.042,0.042,0.042,0.042,17584,0
VIV,5,20210211,150000,0.045,0.045,0.045,0.045,52000,0
VIV,5,20210211,150500,0.045,0.045,0.045,0.045,20000,0
VIV,5,20210212,110000,0.045,0.045,0.045,0.045,52000,0
VIV,5,20210212,150000,0.04,0.04,0.04,0.04,59000,0
VIV,5,20210212,152000,0.04,0.04,0.04,0.04,23000,0
VIV,5,20210215,110000,0.0392,0.0392,0.0392,0.0392,40000,0
VIV,5,20210215,150000,0.04,0.04,0.04,0.04,52000,0
VIV,5,20210216,110000,0.0437,0.0437,0.0437,0.0437,406500,0
VIV,5,20210216,112000,0.0437,0.0437,0.0437,0.0437,90,0
VIV,5,20210216,150000,0.039,0.039,0.039,0.039,172016,0
VIV,5,20210216,151500,0.039,0.039,0.039,0.039,7000,0
VIV,5,20210217,110000,0.035,0.035,0.035,0.035,93214,0
VIV,5,20210217,150000,0.035,0.035,0.035,0.035,100000,0
VIV,5,20210218,110000,0.039,0.039,0.039,0.039,6000,0
VIV,5,20210218,150000,0.035,0.035,0.035,0.035,500,0
VIV,5,20210219,110000,0.039,0.039,0.039,0.039,11500,0
VIV,5,20210219,150000,0.039,0.039,0.039,0.039,60000,0
VIV,5,20210219,151500,0.039,0.039,0.039,0.039,65000,0
VIV,5,20210222,110000,0.039,0.039,0.039,0.039,76990,0
VIV,5,20210222,110500,0.039,0.039,0.039,0.039,800,0
VIV,5,20210222,112500,0.039,0.039,0.039,0.039,50000,0
VIV,5,20210222,150000,0.039,0.039,0.039,0.039,1360,0
VIV,5,20210223,110000,0.039,0.039,0.039,0.039,50000,0
VIV,5,20210224,110000,0.0389,0.0389,0.0389,0.0389,10000,0
VIV,5,20210224,150000,0.039,0.039,0.039,0.039,10000,0
VIV,5,20210225,110000,0.0351,0.0351,0.0351,0.0351,40470,0
VIV,5,20210225,150000,0.04,0.04,0.04,0.04,346730,0
VIV,5,20210226,110000,0.0449,0.0449,0.0449,0.0449,81500,0
VIV,5,20210226,150000,0.044,0.044,0.044,0.044,11300,0
VIV,5,20210301,110000,0.0448,0.0448,0.0448,0.0448,15000,0
VIV,5,20210301,150000,0.0449,0.0449,0.0449,0.0449,10355,0
VIV,5,20210301,151000,0.0449,0.0449,0.0449,0.0449,10000,0
VIV,5,20210301,151500,0.0449,0.0449,0.0449,0.0449,6341,0
VIV,5,20210302,110000,0.0449,0.0449,0.0449,0.0449,1783,0
VIV,5,20210302,111500,0.0449,0.0449,0.0449,0.0449,21521,0
VIV,5,20210302,150000,0.045,0.045,0.045,0.045,7000,0
VIV,5,20210302,151500,0.045,0.045,0.045,0.045,11457,0
VIV,5,20210303,110000,0.045,0.045,0.045,0.045,18251,0
VIV,5,20210303,150000,0.045,0.045,0.045,0.045,163812,0
VIV,5,20210304,110000,0.045,0.045,0.045,0.045,12000,0
VIV,5,20210304,112500,0.045,0.045,0.045,0.045,620000,0
VIV,5,20210304,150000,0.044,0.044,0.044,0.044,12150,0
VIV,5,20210305,110000,0.0449,0.0449,0.0449,0.0449,10485,0
VIV,5,20210305,110500,0.0449,0.0449,0.0449,0.0449,4167,0
VIV,5,20210305,150000,0.045,0.045,0.045,0.045,51027,0
VIV,5,20210308,110000,0.0488,0.0488,0.0488,0.0488,6966,0
VIV,5,20210308,110500,0.0488,0.0488,0.0488,0.0488,10326,0
VIV,5,20210308,111000,0.0488,0.0488,0.0488,0.0488,7172,0
VIV,5,20210308,150000,0.0488,0.0488,0.0488,0.0488,5483,0
VIV,5,20210309,110000,0.0488,0.0488,0.0488,0.0488,48692,0
VIV,5,20210310,110000,0.045,0.045,0.045,0.045,2000,0
VIV,5,20210310,111000,0.045,0.045,0.045,0.045,3184,0
VIV,5,20210310,150000,0.0488,0.0488,0.0488,0.0488,80443,0
VIV,5,20210310,150500,0.0488,0.0488,0.0488,0.0488,89877,0
VIV,5,20210310,151000,0.0488,0.0488,0.0488,0.0488,33662,0
VIV,5,20210310,151500,0.0488,0.0488,0.0488,0.0488,983,0
VIV,5,20210311,110000,0.0478,0.0478,0.0478,0.0478,7100,0
VIV,5,20210311,110500,0.0478,0.0478,0.0478,0.0478,15000,0
VIV,5,20210311,150000,0.047,0.047,0.047,0.047,48140,0
VIV,5,20210311,150500,0.047,0.047,0.047,0.047,3911,0
VIV,5,20210312,110000,0.048,0.048,0.048,0.048,19854,0
VIV,5,20210312,110500,0.048,0.048,0.048,0.048,10522,0
VIV,5,20210312,111000,0.048,0.048,0.048,0.048,63049,0
VIV,5,20210312,111500,0.048,0.048,0.048,0.048,6000,0
VIV,5,20210312,150000,0.049,0.049,0.049,0.049,41000,0
VIV,5,20210315,110000,0.0498,0.0498,0.0498,0.0498,24101,0
VIV,5,20210315,110500,0.0498,0.0498,0.0498,0.0498,24901,0
VIV,5,20210315,111500,0.0498,0.0498,0.0498,0.0498,10799,0
VIV,5,20210315,112000,0.0498,0.0498,0.0498,0.0498,15000,0
VIV,5,20210315,150000,0.0497,0.0497,0.0497,0.0497,48415,0
VIV,5,20210316,110000,0.06,0.06,0.06,0.06,2385347,0
VIV,5,20210316,111500,0.06,0.06,0.06,0.06,25000,0
VIV,5,20210316,112500,0.06,0.06,0.06,0.06,12346,0
VIV,5,20210316,150000,0.065,0.065,0.065,0.065,432369,0
VIV,5,20210316,151500,0.065,0.065,0.065,0.065,2593,0
VIV,5,20210317,110000,0.069,0.069,0.069,0.069,127500,0
VIV,5,20210317,110500,0.069,0.069,0.069,0.069,20998,0
VIV,5,20210317,111000,0.069,0.069,0.069,0.069,105769,0
VIV,5,20210317,111500,0.069,0.069,0.069,0.069,5000,0
VIV,5,20210317,150000,0.0679,0.0679,0.0679,0.0679,514353,0
VIV,5,20210317,150500,0.0679,0.0679,0.0679,0.0679,117934,0
VIV,5,20210317,151000,0.0679,0.0679,0.0679,0.0679,22588,0
VIV,5,20210318,110000,0.067,0.067,0.067,0.067,79688,0
VIV,5,20210318,112500,0.067,0.067,0.067,0.067,1000,0
VIV,5,20210318,150000,0.0658,0.0658,0.0658,0.0658,15000,0
VIV,5,20210318,152500,0.0658,0.0658,0.0658,0.0658,5000,0
VIV,5,20210319,150000,0.067,0.067,0.067,0.067,2000,0
VIV,5,20210319,150500,0.067,0.067,0.067,0.067,10762,0
VIV,5,20210322,110000,0.033,0.033,0.033,0.033,630978,0
VIV,5,20210322,110500,0.033,0.033,0.033,0.033,188222,0
VIV,5,20210322,111000,0.033,0.033,0.033,0.033,54000,0
VIV,5,20210322,111500,0.033,0.033,0.033,0.033,33633,0
VIV,5,20210322,150000,0.04,0.04,0.04,0.04,143695,0
VIV,5,20210322,151500,0.04,0.04,0.04,0.04,84000,0
VIV,5,20210322,152000,0.04,0.04,0.04,0.04,181222,0
VIV,5,20210322,152500,0.04,0.04,0.04,0.04,19843,0
VIV,5,20210323,110000,0.046,0.046,0.046,0.046,213187,0
VIV,5,20210323,111000,0.046,0.046,0.046,0.046,2000,0
VIV,5,20210323,111500,0.046,0.046,0.046,0.046,60000,0
VIV,5,20210323,112000,0.046,0.046,0.046,0.046,20702,0
VIV,5,20210323,150000,0.0589,0.0589,0.0589,0.0589,975312,0
VIV,5,20210323,151000,0.0589,0.0589,0.0589,0.0589,16926,0
VIV,5,20210324,110000,0.05,0.05,0.05,0.05,6666559,0
VIV,5,20210324,110500,0.05,0.05,0.05,0.05,2705538,0
VIV,5,20210324,111000,0.05,0.05,0.05,0.05,22693,0
VIV,5,20210324,112500,0.05,0.05,0.05,0.05,12425,0
VIV,5,20210324,150000,0.0587,0.0587,0.0587,0.0587,230314,0
VIV,5,20210325,110000,0.07,0.07,0.07,0.07,241011,0
VIV,5,20210325,110500,0.07,0.07,0.07,0.07,27000,0
VIV,5,20210325,111000,0.07,0.07,0.07,0.07,26000,0
VIV,5,20210325,111500,0.07,0.07,0.07,0.07,2084,0
VIV,5,20210325,150000,0.078,0.078,0.078,0.078,180358,0
VIV,5,20210325,150500,0.078,0.078,0.078,0.078,1600,0
VIV,5,20210325,152000,0.078,0.078,0.078,0.078,1243,0
VIV,5,20210326,110000,0.0796,0.0796,0.0796,0.0796,311716,0
VIV,5,20210326,110500,0.0796,0.0796,0.0796,0.0796,2500,0
VIV,5,20210326,111000,0.0796,0.0796,0.0796,0.0796,3000,0
VIV,5,20210326,111500,0.0796,0.0796,0.0796,0.0796,5433,0
VIV,5,20210326,112500,0.0796,0.0796,0.0796,0.0796,3600,0
VIV,5,20210326,150000,0.077,0.077,0.077,0.077,1744313,0
VIV,5,20210326,150500,0.077,0.077,0.077,0.077,23306,0
