<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VKT,5,20210204,143000,0.7,0.7,0.7,0.7,2050,0
VKT,5,20210204,152000,0.71,0.71,0.71,0.71,300,0
VKT,5,20210205,090000,0.71,0.71,0.71,0.71,1400,0
VKT,5,20210205,130000,0.7,0.7,0.7,0.7,800,0
VKT,5,20210208,091500,0.72,0.72,0.72,0.72,1389,0
VKT,5,20210208,114000,0.78,0.78,0.78,0.78,140,0
VKT,5,20210209,090000,0.71,0.71,0.71,0.71,500,0
VKT,5,20210212,164500,0.7,0.7,0.7,0.7,1429,0
VKT,5,20210215,090000,0.6,0.6,0.6,0.6,33,0
VKT,5,20210215,090500,0.67,0.67,0.67,0.67,1793,0
VKT,5,20210215,134000,0.75,0.75,0.75,0.75,1334,0
VKT,5,20210215,134500,0.77,0.77,0.7,0.7,2695,0
VKT,5,20210215,140000,0.77,0.855,0.77,0.855,2815,0
VKT,5,20210215,142500,1,1,1,1,5165,0
VKT,5,20210215,144000,1,1,1,1,433,0
VKT,5,20210215,155500,1.01,1.01,1.01,1.01,9428,0
VKT,5,20210216,090500,1.21,1.21,1.21,1.21,3655,0
VKT,5,20210216,091000,1.21,1.25,1,1,4000,0
VKT,5,20210216,091500,0.97,0.97,0.97,0.97,2000,0
VKT,5,20210216,092000,1.15,1.15,1.15,1.15,365,0
VKT,5,20210216,093500,1.1,1.1,1.1,1.1,90,0
VKT,5,20210216,101000,1,1,1,1,800,0
VKT,5,20210216,105500,1,1,1,1,100,0
VKT,5,20210216,134500,0.99,1.1,0.99,1.1,425,0
VKT,5,20210218,090000,1.2,1.2,1.2,1.2,100,0
VKT,5,20210218,095000,1.1,1.1,1.1,1.1,111,0
VKT,5,20210218,100000,1.1,1.1,1.1,1.1,80,0
VKT,5,20210218,111000,0.82,0.82,0.82,0.82,2277,0
VKT,5,20210218,114000,0.95,0.95,0.95,0.95,12,0
VKT,5,20210218,120000,0.95,0.95,0.95,0.95,200,0
VKT,5,20210218,121000,0.835,0.835,0.835,0.835,150,0
VKT,5,20210218,130500,0.95,0.95,0.835,0.835,1001,0
VKT,5,20210218,132000,0.95,0.95,0.95,0.95,1,0
VKT,5,20210218,134500,0.95,0.99,0.95,0.99,1006,0
VKT,5,20210218,135000,0.95,0.95,0.95,0.95,514,0
VKT,5,20210218,153000,0.85,0.85,0.85,0.85,750,0
VKT,5,20210218,161000,0.85,0.85,0.85,0.85,200,0
VKT,5,20210218,164000,0.945,0.945,0.945,0.945,1,0
VKT,5,20210219,095500,0.935,0.935,0.935,0.935,54,0
VKT,5,20210219,102000,0.935,0.935,0.935,0.935,500,0
VKT,5,20210222,092000,0.81,0.83,0.81,0.83,1236,0
VKT,5,20210222,092500,0.925,0.925,0.925,0.925,1,0
VKT,5,20210223,092000,0.925,0.94,0.925,0.94,1451,0
VKT,5,20210223,092500,1.08,1.08,1.08,1.08,195,0
VKT,5,20210223,103500,1.03,1.03,1.03,1.03,92,0
VKT,5,20210223,135500,0.94,0.94,0.94,0.94,1249,0
VKT,5,20210226,150500,0.9,0.9,0.9,0.9,841,0
VKT,5,20210301,102500,1.05,1.05,1.05,1.05,115,0
VKT,5,20210302,110500,1.04,1.04,1.04,1.04,200,0
VKT,5,20210323,154500,0.9,0.9,0.9,0.9,635,0
VKT,5,20210323,155000,1.01,1.01,1.01,1.01,5,0
VKT,5,20210323,155500,0.98,1.05,0.98,1.05,7220,0
VKT,5,20210323,160000,1.08,1.08,1.08,1.08,582,0
VKT,5,20210324,090000,1.1,1.1,1.1,1.1,850,0
VKT,5,20210324,142500,1.08,1.08,1.08,1.08,500,0
VKT,5,20210325,090000,1.08,1.08,1.08,1.08,300,0
VKT,5,20210325,101000,1.08,1.08,1.08,1.08,910,0
VKT,5,20210325,161500,0.95,0.95,0.95,0.95,1053,0
VKT,5,20210325,162000,1.08,1.08,1.08,1.08,5,0
