<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRB,5,20210204,093000,1.1,1.1,1.1,1.1,310,0
VRB,5,20210205,092000,1.05,1.05,1.05,1.05,187,0
VRB,5,20210205,094000,1.04,1.04,1.04,1.04,123,0
VRB,5,20210208,161000,1.04,1.04,1.02,1.02,3077,0
VRB,5,20210209,090000,1.02,1.02,1.02,1.02,3,0
VRB,5,20210209,092500,1.02,1.02,1.02,1.02,2097,0
VRB,5,20210209,150000,1.06,1.07,1.06,1.07,600,0
VRB,5,20210210,090000,1.06,1.06,1.06,1.06,20,0
VRB,5,20210211,090000,1.06,1.06,1.06,1.06,20,0
VRB,5,20210211,105000,1,1,0.92,0.92,2079,0
VRB,5,20210211,110500,1.03,1.06,1.03,1.06,601,0
VRB,5,20210211,121000,1.06,1.07,1.06,1.07,2500,0
VRB,5,20210211,121500,1.07,1.1,1.07,1.1,1000,0
VRB,5,20210212,095500,1.08,1.08,1.08,1.08,1386,0
VRB,5,20210212,100000,1.08,1.08,1.08,1.08,1114,0
VRB,5,20210212,100500,1.1,1.1,1.1,1.1,149,0
VRB,5,20210212,103000,1.05,1.05,1.05,1.05,1644,0
VRB,5,20210212,104500,1.05,1.05,1.05,1.05,100,0
VRB,5,20210215,110000,1.1,1.12,1.1,1.12,900,0
VRB,5,20210215,164500,1.12,1.13,1.12,1.13,1805,0
VRB,5,20210216,090000,1.17,1.17,1.17,1.17,1005,0
VRB,5,20210216,090500,1.05,1.05,1.05,1.05,187,0
VRB,5,20210216,151000,1.11,1.11,1.09,1.09,490,0
VRB,5,20210217,092500,1.09,1.09,1.05,1.05,900,0
VRB,5,20210217,125500,1.07,1.07,1.07,1.07,500,0
VRB,5,20210217,154000,1.1,1.24,1.1,1.24,10485,0
VRB,5,20210217,154500,1.25,1.27,1.24,1.26,4190,0
VRB,5,20210217,155000,1.17,1.2,1.17,1.17,2923,0
VRB,5,20210217,155500,1.22,1.3,1.22,1.3,2225,0
VRB,5,20210217,161500,1.28,1.3,1.28,1.3,2000,0
VRB,5,20210217,162500,1.3,1.3,1.3,1.3,200,0
VRB,5,20210217,164500,1.25,1.25,1.22,1.22,630,0
VRB,5,20210218,090000,1.28,1.28,1.28,1.28,590,0
VRB,5,20210218,090500,1.22,1.22,1.22,1.22,335,0
VRB,5,20210218,091000,1.22,1.22,1.22,1.22,625,0
VRB,5,20210218,091500,1.22,1.22,1.18,1.18,3017,0
VRB,5,20210218,092000,1.23,1.23,1.23,1.23,200,0
