<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHH,5,20210204,161500,0.36,0.36,0.36,0.36,200,0
WHH,5,20210204,164000,0.36,0.36,0.36,0.36,2116,0
WHH,5,20210204,164500,0.38,0.38,0.38,0.38,5000,0
WHH,5,20210205,091500,0.32,0.32,0.32,0.32,39,0
WHH,5,20210205,092500,0.378,0.378,0.378,0.378,100,0
WHH,5,20210205,143000,0.34,0.34,0.34,0.34,1224,0
WHH,5,20210205,164500,0.34,0.37,0.32,0.37,22200,0
WHH,5,20210208,090000,0.348,0.348,0.348,0.348,785,0
WHH,5,20210208,123500,0.348,0.348,0.348,0.348,1000,0
WHH,5,20210208,124500,0.348,0.348,0.348,0.348,380,0
WHH,5,20210208,144000,0.306,0.306,0.306,0.306,380,0
WHH,5,20210208,164500,0.35,0.35,0.35,0.35,731,0
WHH,5,20210209,164500,0.38,0.38,0.38,0.38,6269,0
WHH,5,20210210,125500,0.38,0.38,0.38,0.38,4000,0
WHH,5,20210210,133500,0.38,0.39,0.38,0.39,7000,0
WHH,5,20210211,090000,0.416,0.416,0.416,0.416,1200,0
WHH,5,20210216,094000,0.408,0.41,0.408,0.41,2000,0
WHH,5,20210216,164500,0.414,0.414,0.414,0.414,4000,0
WHH,5,20210217,160500,0.412,0.414,0.412,0.414,3000,0
WHH,5,20210219,115000,0.342,0.342,0.34,0.34,10000,0
WHH,5,20210219,115500,0.4,0.4,0.4,0.4,1000,0
WHH,5,20210219,153500,0.36,0.36,0.36,0.36,2500,0
WHH,5,20210219,155500,0.34,0.34,0.34,0.34,250,0
WHH,5,20210219,161500,0.39,0.39,0.39,0.39,20,0
WHH,5,20210219,164500,0.37,0.37,0.37,0.37,2710,0
WHH,5,20210222,090500,0.37,0.37,0.37,0.37,800,0
WHH,5,20210222,094500,0.37,0.37,0.37,0.37,11,0
WHH,5,20210222,100000,0.32,0.32,0.32,0.32,20,0
WHH,5,20210222,105000,0.37,0.37,0.37,0.37,300,0
WHH,5,20210222,164500,0.412,0.412,0.412,0.412,5400,0
WHH,5,20210225,161000,0.36,0.36,0.35,0.35,10080,0
WHH,5,20210225,162000,0.404,0.404,0.404,0.404,500,0
WHH,5,20210225,164500,0.37,0.37,0.37,0.37,1486,0
WHH,5,20210226,100000,0.368,0.368,0.368,0.368,1799,0
WHH,5,20210226,104000,0.368,0.368,0.368,0.368,1500,0
WHH,5,20210226,122000,0.368,0.368,0.368,0.368,700,0
WHH,5,20210226,164500,0.368,0.37,0.368,0.37,600,0
WHH,5,20210301,090000,0.372,0.408,0.372,0.408,5514,0
WHH,5,20210301,090500,0.416,0.416,0.416,0.416,777,0
WHH,5,20210301,095000,0.414,0.414,0.414,0.414,50,0
WHH,5,20210301,100500,0.414,0.416,0.414,0.416,10000,0
WHH,5,20210301,101000,0.416,0.418,0.416,0.418,9378,0
WHH,5,20210301,104500,0.446,0.446,0.446,0.446,1,0
WHH,5,20210301,124500,0.434,0.434,0.434,0.434,100,0
WHH,5,20210301,132000,0.41,0.41,0.41,0.41,7378,0
WHH,5,20210301,132500,0.42,0.42,0.42,0.42,350,0
WHH,5,20210301,133000,0.446,0.446,0.446,0.446,1050,0
WHH,5,20210301,135000,0.45,0.45,0.45,0.45,3222,0
WHH,5,20210301,152000,0.448,0.448,0.448,0.448,1804,0
WHH,5,20210301,155000,0.448,0.448,0.448,0.448,3196,0
WHH,5,20210301,160500,0.42,0.42,0.42,0.42,500,0
WHH,5,20210301,162500,0.41,0.41,0.41,0.41,2500,0
WHH,5,20210301,163000,0.41,0.41,0.41,0.41,500,0
WHH,5,20210301,164500,0.448,0.448,0.448,0.448,6000,0
