<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPL,5,20210204,164000,1.44,1.44,1.42,1.42,301,0
XPL,5,20210205,103000,1.42,1.42,1.42,1.42,10,0
XPL,5,20210205,121500,1.46,1.46,1.46,1.46,100,0
XPL,5,20210205,124000,1.47,1.47,1.47,1.47,1000,0
XPL,5,20210205,160500,1.47,1.47,1.47,1.47,980,0
XPL,5,20210208,110000,1.47,1.47,1.47,1.47,10,0
XPL,5,20210208,132500,1.47,1.47,1.47,1.47,990,0
XPL,5,20210208,134000,1.46,1.46,1.46,1.46,100,0
XPL,5,20210208,150500,1.48,1.48,1.48,1.48,800,0
XPL,5,20210209,090000,1.5,1.5,1.5,1.5,330,0
XPL,5,20210209,094500,1.5,1.5,1.5,1.5,970,0
XPL,5,20210209,103000,1.5,1.5,1.5,1.5,346,0
XPL,5,20210209,115500,1.52,1.52,1.52,1.52,1,0
XPL,5,20210209,134500,1.5,1.5,1.5,1.5,500,0
XPL,5,20210210,092000,1.52,1.52,1.52,1.52,205,0
XPL,5,20210210,101000,1.52,1.52,1.52,1.52,800,0
XPL,5,20210210,120500,1.53,1.53,1.53,1.53,500,0
XPL,5,20210210,154500,1.5,1.5,1.5,1.5,1000,0
XPL,5,20210210,163000,1.5,1.5,1.5,1.5,346,0
XPL,5,20210211,105500,1.5,1.5,1.5,1.5,1000,0
XPL,5,20210211,112500,1.5,1.5,1.5,1.5,1000,0
XPL,5,20210211,113500,1.5,1.5,1.5,1.5,10,0
XPL,5,20210212,101000,1.44,1.44,1.44,1.44,81,0
XPL,5,20210212,110000,1.5,1.61,1.5,1.59,12490,0
XPL,5,20210212,110500,1.59,1.72,1.59,1.72,15321,0
XPL,5,20210212,111000,1.72,1.72,1.72,1.72,685,0
XPL,5,20210212,111500,1.69,1.69,1.69,1.69,300,0
XPL,5,20210212,112000,1.69,1.72,1.69,1.72,4488,0
XPL,5,20210212,112500,1.72,1.72,1.72,1.72,2400,0
XPL,5,20210212,113500,1.72,1.72,1.72,1.72,140,0
XPL,5,20210212,114000,1.72,1.72,1.72,1.72,3000,0
XPL,5,20210212,114500,1.72,1.72,1.72,1.72,3900,0
XPL,5,20210212,115000,1.77,1.77,1.77,1.77,6985,0
XPL,5,20210212,115500,1.79,1.96,1.79,1.9,24336,0
XPL,5,20210212,120000,1.94,2.06,1.94,2.06,18136,0
XPL,5,20210212,120500,2.06,2.06,2.06,2.06,1500,0
XPL,5,20210212,121000,1.96,1.96,1.96,1.96,685,0
XPL,5,20210212,121500,1.96,1.96,1.96,1.96,159,0
XPL,5,20210212,122000,1.88,1.88,1.86,1.86,2850,0
XPL,5,20210212,122500,1.86,1.86,1.86,1.86,340,0
XPL,5,20210212,123500,1.86,1.86,1.86,1.86,500,0
XPL,5,20210212,131500,1.96,1.96,1.96,1.96,1530,0
XPL,5,20210212,132000,1.95,1.95,1.95,1.95,750,0
XPL,5,20210212,132500,1.95,2,1.95,2,5820,0
XPL,5,20210212,133000,2,2.06,2,2.06,7700,0
XPL,5,20210212,145500,2.26,2.26,2.26,2.26,13742,0
XPL,5,20210212,151500,2.26,2.26,2.26,2.26,4957,0
XPL,5,20210212,152000,2.2,2.2,2.2,2.2,3854,0
XPL,5,20210212,152500,2.2,2.26,2.2,2.26,11584,0
XPL,5,20210212,154000,2.26,2.26,2.26,2.26,300,0
XPL,5,20210212,161000,2.16,2.2,2.14,2.2,6620,0
XPL,5,20210212,162000,2.2,2.2,2.2,2.2,2567,0
XPL,5,20210212,163500,2.2,2.26,2.04,2.26,2173,0
XPL,5,20210212,164000,2.02,2.22,2,2.2,7414,0
XPL,5,20210212,164500,2.2,2.2,1.95,2.18,3162,0
XPL,5,20210215,090000,2.1,2.1,1.73,2,7610,0
XPL,5,20210215,090500,1.73,2.1,1.73,2.1,2920,0
XPL,5,20210215,091000,2.08,2.1,2.08,2.1,2000,0
XPL,5,20210215,092000,1.85,1.85,1.85,1.85,2000,0
XPL,5,20210215,092500,2.06,2.06,2.06,2.06,2,0
XPL,5,20210215,093000,2.06,2.06,2.06,2.06,1000,0
XPL,5,20210215,100500,1.9,1.9,1.86,1.86,1055,0
XPL,5,20210215,102500,1.9,2.04,1.9,2.04,174,0
XPL,5,20210215,105500,2.04,2.04,2.04,2.04,977,0
XPL,5,20210215,115000,1.98,1.98,1.98,1.98,1000,0
XPL,5,20210215,115500,1.98,1.98,1.98,1.98,1000,0
XPL,5,20210215,121000,1.98,1.98,1.94,1.94,3006,0
XPL,5,20210215,124000,1.9,1.9,1.85,1.9,8120,0
XPL,5,20210215,125000,1.9,1.9,1.9,1.9,300,0
XPL,5,20210215,130000,1.82,2,1.75,2,2800,0
XPL,5,20210215,131500,1.8,1.8,1.8,1.8,250,0
XPL,5,20210215,132000,1.77,1.77,1.76,1.76,5953,0
XPL,5,20210215,133000,1.8,1.9,1.8,1.9,55,0
XPL,5,20210215,133500,1.84,1.9,1.84,1.86,3680,0
XPL,5,20210215,134000,1.96,1.96,1.96,1.96,518,0
XPL,5,20210215,140000,1.9,1.9,1.9,1.9,100,0
XPL,5,20210215,141500,1.96,1.96,1.96,1.96,11,0
XPL,5,20210215,143500,1.88,1.88,1.8,1.8,1270,0
XPL,5,20210215,144500,1.9,1.9,1.9,1.9,10000,0
XPL,5,20210215,160000,1.84,1.84,1.84,1.84,1200,0
XPL,5,20210215,160500,1.92,1.92,1.82,1.82,255,0
XPL,5,20210215,163000,1.82,1.82,1.82,1.82,1067,0
XPL,5,20210215,163500,1.8,1.8,1.8,1.8,6000,0
XPL,5,20210215,164500,1.91,1.91,1.81,1.81,1105,0
XPL,5,20210216,090000,1.8,1.8,1.8,1.8,390,0
XPL,5,20210216,090500,1.8,1.8,1.8,1.8,200,0
XPL,5,20210216,095000,1.8,1.8,1.8,1.8,1000,0
XPL,5,20210216,100000,1.8,1.8,1.8,1.8,432,0
XPL,5,20210216,102000,1.8,1.8,1.8,1.8,568,0
XPL,5,20210216,103000,1.85,1.91,1.85,1.91,1293,0
XPL,5,20210216,105500,1.88,1.94,1.88,1.94,3336,0
XPL,5,20210216,110000,1.94,1.94,1.94,1.94,20,0
XPL,5,20210216,113500,1.94,1.94,1.94,1.94,280,0
XPL,5,20210216,114500,1.96,1.98,1.96,1.98,342,0
XPL,5,20210216,120000,1.94,1.94,1.94,1.94,152,0
XPL,5,20210216,122000,1.93,1.93,1.93,1.93,2050,0
XPL,5,20210216,122500,1.93,1.93,1.93,1.93,1000,0
XPL,5,20210216,123500,1.9,1.9,1.8,1.8,2000,0
XPL,5,20210216,124000,1.93,1.93,1.93,1.93,1350,0
XPL,5,20210216,125500,1.94,1.94,1.94,1.94,1000,0
XPL,5,20210216,130000,1.93,1.93,1.93,1.93,815,0
XPL,5,20210216,130500,1.93,1.94,1.93,1.94,2007,0
XPL,5,20210216,132000,1.89,1.89,1.88,1.88,1399,0
XPL,5,20210216,132500,1.88,1.88,1.88,1.88,1,0
XPL,5,20210216,133500,1.88,1.88,1.88,1.88,985,0
XPL,5,20210216,135000,1.89,1.89,1.88,1.88,815,0
XPL,5,20210216,161000,1.88,1.88,1.88,1.88,975,0
XPL,5,20210216,163000,1.88,1.88,1.88,1.88,400,0
XPL,5,20210216,163500,1.88,1.98,1.88,1.98,2000,0
XPL,5,20210216,164000,1.98,1.98,1.98,1.98,921,0
XPL,5,20210216,164500,1.99,1.99,1.99,1.99,3000,0
XPL,5,20210217,090000,1.99,1.99,1.99,1.99,1000,0
XPL,5,20210217,102500,1.9,1.9,1.9,1.9,300,0
XPL,5,20210217,103000,1.88,1.88,1.88,1.88,50,0
XPL,5,20210217,142000,1.88,1.88,1.87,1.87,2230,0
XPL,5,20210217,144000,1.94,1.95,1.94,1.95,300,0
XPL,5,20210217,150000,1.86,1.95,1.85,1.95,1400,0
XPL,5,20210217,160000,1.83,1.83,1.74,1.74,10500,0
XPL,5,20210217,161500,1.88,1.88,1.88,1.88,100,0
XPL,5,20210217,162000,1.88,1.88,1.88,1.88,50,0
XPL,5,20210217,164500,1.88,1.88,1.88,1.88,150,0
XPL,5,20210218,090000,1.88,1.99,1.88,1.99,6608,0
XPL,5,20210218,090500,1.88,1.88,1.88,1.88,150,0
XPL,5,20210218,095500,1.96,1.96,1.96,1.96,200,0
XPL,5,20210218,100500,1.98,1.98,1.98,1.98,1994,0
XPL,5,20210218,114000,1.98,1.98,1.98,1.98,1000,0
XPL,5,20210218,115500,1.93,1.93,1.93,1.93,400,0
XPL,5,20210218,120000,1.92,1.92,1.92,1.92,600,0
XPL,5,20210218,122000,1.92,1.92,1.92,1.92,400,0
XPL,5,20210218,124500,1.92,1.92,1.92,1.92,1196,0
XPL,5,20210218,141000,1.98,1.98,1.98,1.98,697,0
XPL,5,20210218,163500,2.04,2.04,2.04,2.04,100,0
XPL,5,20210218,164500,2.04,2.04,2.02,2.02,850,0
XPL,5,20210219,100000,1.98,1.98,1.98,1.98,1000,0
XPL,5,20210219,100500,1.92,1.92,1.92,1.92,1000,0
XPL,5,20210219,141000,2,2,2,2,1000,0
XPL,5,20210219,144500,2.02,2.02,2.02,2.02,250,0
XPL,5,20210219,162000,2.04,2.04,2.04,2.04,990,0
XPL,5,20210222,111000,2.02,2.02,2.02,2.02,30,0
XPL,5,20210222,125500,2.04,2.04,2.04,2.04,570,0
XPL,5,20210222,152500,2.04,2.04,2.04,2.04,446,0
XPL,5,20210222,164000,2.08,2.08,2.08,2.08,1,0
XPL,5,20210223,090000,2.1,2.1,2.1,2.1,200,0
XPL,5,20210223,092500,2.1,2.16,2.1,2.16,2000,0
XPL,5,20210223,101500,2.1,2.1,2.1,2.1,1000,0
XPL,5,20210223,103000,2.1,2.16,2.1,2.16,1011,0
XPL,5,20210223,111000,2.08,2.08,2.08,2.08,620,0
XPL,5,20210223,115500,2.1,2.1,2.1,2.1,256,0
XPL,5,20210223,162500,2.14,2.14,2.1,2.1,1000,0
XPL,5,20210223,163000,2.08,2.08,2.08,2.08,880,0
XPL,5,20210223,164500,2.16,2.16,2.16,2.16,1,0
XPL,5,20210224,091000,2.16,2.16,2.16,2.16,600,0
XPL,5,20210224,093000,2.08,2.08,2.02,2.02,5000,0
XPL,5,20210224,104000,2.02,2.02,2.02,2.02,1348,0
XPL,5,20210224,105500,2.02,2.02,2.02,2.02,1010,0
XPL,5,20210224,110000,2.02,2.02,2.02,2.02,200,0
XPL,5,20210224,110500,2.02,2.02,2.02,2.02,50,0
XPL,5,20210224,115000,2,2,1.96,1.96,2980,0
XPL,5,20210224,115500,2.02,2.02,2.02,2.02,10,0
XPL,5,20210224,130000,2,2,1.96,1.96,1160,0
XPL,5,20210224,132000,1.97,1.97,1.95,1.95,230,0
XPL,5,20210224,140000,2.04,2.04,2.04,2.04,33,0
XPL,5,20210224,142500,1.96,1.96,1.96,1.96,408,0
XPL,5,20210224,164500,2.04,2.1,2.04,2.1,1297,0
