<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YAN,5,20210204,090500,55,55,55,55,1,0
YAN,5,20210205,090500,55,55,55,55,1,0
YAN,5,20210208,091500,55,55,55,55,1,0
YAN,5,20210208,164000,55,55,55,55,12,0
YAN,5,20210208,164500,57,57,57,57,5,0
YAN,5,20210209,091000,58,58,58,58,1,0
YAN,5,20210211,090000,58,58,58,58,1,0
YAN,5,20210211,124000,53,53,53,53,31,0
YAN,5,20210211,164000,56,56,56,56,10,0
YAN,5,20210215,112500,54,54,49,49,61,0
YAN,5,20210215,114500,49,49,49,49,39,0
YAN,5,20210215,164500,51.5,51.5,51.5,51.5,10,0
YAN,5,20210216,110500,49.2,49.2,49.2,49.2,10,0
YAN,5,20210216,164500,50.5,54,50.5,54,20,0
YAN,5,20210217,132500,50.5,50.5,49.8,49.8,35,0
YAN,5,20210217,155500,48,48,48,48,65,0
YAN,5,20210217,164500,51,51,51,51,10,0
YAN,5,20210218,164500,54,54,54,54,9,0
YAN,5,20210305,100000,52.5,52.5,52.5,52.5,1,0
YAN,5,20210305,164000,52.5,53,52.5,53,20,0
YAN,5,20210305,164500,57,57,57,57,10,0
YAN,5,20210309,091000,58,58,58,58,1,0
YAN,5,20210310,092500,58,58,58,58,1,0
YAN,5,20210310,153000,54,54,53,53,30,0
YAN,5,20210310,162000,50,50,50,50,4,0
YAN,5,20210312,132000,50,50,50,50,1,0
YAN,5,20210315,150500,52,52,52,52,10,0
YAN,5,20210319,120500,49.6,49.6,49.6,49.6,10,0
YAN,5,20210323,092500,50,50,50,50,1,0
YAN,5,20210324,091000,50,50,50,50,1,0
YAN,5,20210324,161000,50,50,50,50,29,0
YAN,5,20210325,092000,50.5,50.5,50.5,50.5,700,0
YAN,5,20210325,104500,51,51,51,51,10,0
YAN,5,20210325,105500,51,51,51,51,10,0
YAN,5,20210325,110000,48.6,48.6,48.6,48.6,25,0
YAN,5,20210325,132000,48,48,48,48,65,0
YAN,5,20210326,164000,49.2,49.2,49.2,49.2,400,0
