Symbol,Nazwa
01C,01CYBATON
2CP,2CPARTNER
4MB,4MOBILITY
4MS,4MASS
7FT,7FIT
7LV,7LEVELS
AAS,AALLIANCE
ABK,ABAK
ACA,ACARTUS
ACK,ACKERMAN
ACR,ACREBIT
ADX,ADATEX
AER,AERFINANC
AFC,AKCEPTFIN
AFH,AFHOL
AGL,AGROLIGA
AGP,AGROMEP
AIN,ABSINVEST
AIT,AITON
ALD,ALDA
ALS,ALEJA
ALU,ALUMAST
AOL,ANALIZY
APA,APANET
APC,APOLLO
APS,APS
AQA,AQUAPOZ
AQT,AQUATECH
AQU,AQUABB
ARE,ARENAPL
ARG,ARTGAMES
ARI,ARI
ARX,ARRINERA
ASA,APIS
ASP,AUTOSPA
ASR,ASTRO
ATA,ATCCARGO
ATJ,ATOMJELLY
ATO,ATONHT
AUX,AUXILIA
AVE,ADVERTIGO
AVT,AVATRIX
AZC,AZTEC
B24,BRAND24
BBA,BBINWEST
BCI,BALTICINV
BDG,BROADGATE
BEP,BIOMASS
BER,BIOERG
BFC,BIOFACTOR
BGD,BIOGENED
BHX,BINARY
BIP,BIOPLANET
BLO,BLOOBER
BLR,BLIRT
BLT,BALTICON
BLU,BLUMERANG
BMX,BIOMAXIMA
BPC,BPC
BPN,BLACKPOIN
BPX,BPX
BRH,BERGHOLDI
BRO,CZARNKOW
BSA,BRAS
BTC,BLKCHNLAB
BTG,BLUETAX
BTK,BIZTECH
BTX,BETOMAX
BVT,BVT
CAI,CARLSON
CAM,CAMBRIDGE
CBD,CANNABIS
CCS,CCS
CDA,CDA
CDT,CODEADDIC
CFG,CFG
CFS,CFSA
CHP,CHERRY
CLC,COLUMBUS
CLD,CLOUD
CMC,COMECO
CMI,CMI
COR,CORELENS
CRB,CARBONSTU
CRC,CARPATHIA
CRJ,CREEPYJAR
CRP,CEREALPLT
CRS,COPERNIC
CSR,CASPAR
CTE,CTE
CTF,CENTURION
CWP,CWPE
DAM,DENTAMDC
DBE,DBENERGY
DCD,DCD
DDI,DDISTANCE
DEG,DETGAMES
DEV,DEVORAN
DGL,DIGITAL
DIN,DAMFINW
