Walor AD,Kurs AD,Zmiana AD,Zmianaprocentowa AD,Liczbatransakcji AD,Obrót AD,Otwarcie AD,Max AD,Min AD,Czas AD
01CYBATON,79400.0,1200.0,"1,53%",101,190 809,78500.0,80700.0,76400.0,01.04 16:49
2CPARTNER,900.0,0.0,"0,00%",2,18,900.0,900.0,900.0,15.11 11:00
4MASS,4424.0,-66.0,"-1,47%",407,614 779,4400.0,4480.0,4270.0,01.04 17:01
4MOBILITY,45800.0,-200.0,"-0,43%",1,14,45800.0,45800.0,45800.0,01.04 09:41
5THAVENUE,15600.0,-2200.0,"-12,36%",24,3 239,19400.0,19400.0,15600.0,29.04 17:00
7FIT,36200.0,-200.0,"-0,55%",8,26 738,35400.0,38000.0,35400.0,01.04 16:31
7LEVELS,288000.0,-4000.0,"-1,37%",1,86,288000.0,288000.0,288000.0,01.04 09:00
AALLIANCE,640000.0,-30000.0,"-4,48%",5,21 735,695000.0,695000.0,640000.0,29.03 16:11
ABAK,28000.0,-1000.0,"-3,45%",1,728,28000.0,28000.0,28000.0,01.04 15:11
,,,,,,,,,
ABSINVEST,28700.0,-300.0,"-1,03%",50,129 132,28600.0,29600.0,27500.0,01.04 16:44
ACARTUS,7480.0,720.0,"10,65%",46,11 330,6800.0,8120.0,6400.0,01.04 16:49
ACKERMAN,157000.0,0.0,"0,00%",7,4 706,155000.0,157000.0,155000.0,01.04 16:33
ACREBIT,42800.0,9000.0,"26,63%",46,50 407,39600.0,45000.0,31700.0,01.04 17:00
ADATEX,12900.0,-100.0,"-0,77%",2,1 653,13000.0,13000.0,12900.0,01.04 13:56
ADVERTIGO,12800.0,300.0,"2,40%",32,47 210,12800.0,12800.0,11700.0,01.04 16:49
AERFINANC,2960.0,560.0,"23,33%",3,172,2960.0,2960.0,2960.0,30.03 15:20
AFHOL,74000.0,-4000.0,"-5,13%",6,1 295,83000.0,83000.0,72000.0,01.04 17:00
AGROLIGA,517700.0,21700.0,"4,38%",48,75 060,495000.0,529000.0,471000.0,01.04 16:47
AGROMEP,48600.0,-1900.0,"-3,76%",2,548,50000.0,50000.0,48600.0,24.03 16:49
AITON,7500.0,400.0,"5,63%",14,8 393,7000.0,7500.0,7000.0,01.04 16:42
AKCEPTFIN,8350.0,-50.0,"-0,60%",4,1 285,8350.0,8350.0,8150.0,01.04 15:51
ALDA,106000.0,-14000.0,"-11,67%",10,6 772,112000.0,112000.0,105000.0,01.04 10:59
ALUMAST,11000.0,-500.0,"-4,35%",2,1 016,11000.0,11000.0,11000.0,31.03 10:31
ANALIZY,340000.0,10000.0,"3,03%",9,30 517,320000.0,340000.0,292000.0,25.03 15:21
APANET,8950.0,0.0,"0,00%",1,27,8950.0,8950.0,8950.0,01.04 11:00
APIS,1224.0,4.0,"0,33%",43,29 464,1200.0,1230.0,1180.0,01.04 17:00
APOLLO,36700.0,700.0,"1,94%",53,56 374,36000.0,36900.0,30000.0,01.04 17:00
APS,34400.0,0.0,"0,00%",2,2 036,34400.0,34400.0,34400.0,31.03 15:16
AQUABB,169000.0,0.0,"0,00%",1,51,169000.0,169000.0,169000.0,01.04 09:41
AQUAPOZ,170000.0,4000.0,"2,41%",15,14 136,169000.0,185000.0,161000.0,01.04 14:20
AQUATECH,40000.0,-3600.0,"-8,26%",27,43 436,40000.0,40000.0,40000.0,01.04 15:00
ARAMUS,19800.0,2100.0,"11,86%",8,4 911,17700.0,19800.0,17700.0,27.12 11:17
ARENAPL,18100.0,100.0,"0,56%",6,9 140,18100.0,18300.0,17300.0,01.04 12:30
ARI,3800.0,200.0,"5,56%",4,241,3800.0,3800.0,3800.0,23.03 15:00
ARTGAMES,21700.0,-200.0,"-0,91%",12,8 664,21900.0,21900.0,21100.0,01.04 14:07
ARTP,4350.0,550.0,"14,47%",68,54 260,3780.0,4400.0,3700.0,01.04 16:30
ASTRO,6000.0,140.0,"2,39%",54,42 456,5700.0,6180.0,4800.0,01.04 16:43
ATCCARGO,65500.0,500.0,"0,77%",4,965,64000.0,65500.0,64000.0,01.04 16:44
ATOMJELLY,46850.0,2350.0,"5,28%",4,1 839,45600.0,46850.0,45600.0,01.04 09:31
ATONHT,2700.0,-220.0,"-7,53%",13,20 948,2600.0,2700.0,2600.0,01.04 15:00
AUTOSPA,11700.0,-900.0,"-7,14%",12,5 607,12000.0,12000.0,11700.0,01.04 15:02
AUXILIA,42800.0,-200.0,"-0,47%",17,28 446,42800.0,44600.0,42400.0,01.04 15:52
AVATRIX,11000.0,-200.0,"-1,79%",27,35 251,11700.0,11700.0,11000.0,01.04 16:01
AZTEC,31000.0,-200.0,"-0,64%",3,2 104,30000.0,31000.0,29600.0,31.03 15:50
BALTICON,204000.0,2000.0,"0,99%",18,8 000,180000.0,212000.0,180000.0,01.04 17:00
BBINWEST,136500.0,6500.0,"5,00%",89,171 522,137000.0,137000.0,129000.0,01.04 17:00
BERGHOLDI,27900.0,900.0,"3,33%",45,62 442,27500.0,28100.0,27500.0,01.04 17:00
BETOMAX,36800.0,-200.0,"-0,54%",11,17 837,37000.0,37000.0,33200.0,01.04 15:15
BINARY,22800.0,800.0,"3,64%",20,4 100,22400.0,23400.0,22000.0,01.04 16:12
BIOERG,4220.0,100.0,"2,43%",28,13 907,4100.0,4280.0,3980.0,01.04 16:42
BIOFACTOR,34000.0,4000.0,"13,33%",2,1 808,31400.0,34000.0,31400.0,31.03 10:43
BIOGENED,131000.0,5000.0,"3,97%",7,4 931,126000.0,131000.0,126000.0,01.04 10:06
BIOMASS,12020.0,20.0,"0,17%",74,72 472,12280.0,12280.0,11920.0,01.04 17:00
BIOMAXIMA,409400.0,-600.0,"-0,15%",243,620 842,409800.0,420000.0,402000.0,01.04 17:03
BIOPLANET,370000.0,4000.0,"1,09%",13,22 791,370000.0,380000.0,360000.0,01.04 15:27
BIZTECH,4840.0,260.0,"5,68%",4,1 114,4560.0,4840.0,4560.0,01.04 09:09
BLACKPOIN,14400.0,0.0,"0,00%",4,2 439,14400.0,14400.0,14000.0,01.04 14:18
BLIRT,225500.0,-34500.0,"-13,27%",760,1 936 443,264000.0,284000.0,213500.0,01.04 17:00
BLKCHNLAB,35000.0,1400.0,"4,17%",6,3 806,35300.0,35500.0,35000.0,01.04 11:05
BLOOBER,170600.0,-6200.0,"-3,51%",159,533 680,176800.0,176800.0,170400.0,01.04 17:03
BLUETAX,42000.0,0.0,"0,00%",2,4 543,38200.0,42000.0,38200.0,01.04 15:00
BLUMERANG,69600.0,1600.0,"2,35%",13,25 265,70000.0,70000.0,68000.0,01.04 17:00
BPC,880000.0,-10000.0,"-1,12%",9,24 350,908000.0,908000.0,866000.0,01.04 16:45
BPX,25000.0,200.0,"0,81%",1,2 500,25000.0,25000.0,25000.0,01.04 14:57
BRAND24,291000.0,-6000.0,"-2,02%",69,81 205,297000.0,319000.0,290000.0,01.04 17:00
BRAS,5860.0,210.0,"3,72%",397,703 819,5660.0,6100.0,5500.0,01.04 17:00
BROADGATE,3300.0,-140.0,"-4,07%",2,400,3300.0,3300.0,3300.0,24.03 11:00
BVT,10600.0,0.0,"0,00%",6,8 688,10600.0,10700.0,10600.0,01.04 15:41
CAMBRIDGE,7400.0,-950.0,"-11,38%",1,144,7400.0,7400.0,7400.0,01.04 15:00
CANNABIS,28400.0,-1600.0,"-5,33%",140,182 885,30500.0,31400.0,28000.0,01.04 17:02
CARBONSTU,600000.0,-10000.0,"-1,64%",7,25 201,610000.0,610000.0,590000.0,01.04 13:31
CARLSON,263000.0,15000.0,"6,05%",14,92 037,290000.0,297000.0,260000.0,01.04 17:00
CARPATHIA,76800.0,2200.0,"2,95%",4,3 135,80400.0,80400.0,76800.0,01.04 12:15
CASPAR,955000.0,-45000.0,"-4,50%",1,478,955000.0,955000.0,955000.0,30.03 13:28
CCS,16000.0,0.0,"0,00%",6,7 047,16100.0,16400.0,16000.0,31.03 17:00
CDA,282300.0,300.0,"0,11%",5,6 240,282300.0,282500.0,282250.0,01.04 15:35
CENTURION,19000.0,0.0,"0,00%",6,2 200,16100.0,19000.0,16100.0,01.04 09:29
CEREALPLT,82000.0,-510.0,"-0,62%",1,16,82000.0,82000.0,82000.0,01.04 09:40
CFG,383000.0,-1000.0,"-0,26%",32,86 254,389000.0,389000.0,372000.0,01.04 17:00
CFSA,39800.0,-1200.0,"-2,93%",20,15 534,40800.0,41200.0,38200.0,01.04 16:19
CHERRY,363000.0,-17000.0,"-4,47%",16,20 834,365000.0,365000.0,363000.0,01.04 12:23
CLOUD,168000.0,-2000.0,"-1,18%",15,39 753,170000.0,170000.0,155000.0,01.04 17:00
CMI,458000.0,10000.0,"2,23%",2,273,450000.0,458000.0,450000.0,01.04 13:08
CODEADDIC,34500.0,1500.0,"4,55%",14,22 248,31200.0,34500.0,31200.0,01.04 15:01
COLUMBUS,466800.0,1800.0,"0,39%",203,599 224,469000.0,471000.0,458000.0,01.04 17:00
COMECO,3100.0,220.0,"7,64%",11,8 460,3080.0,3100.0,2840.0,01.04 16:31
COPERNIC,50000.0,4000.0,"8,70%",5,3 620,46000.0,50000.0,46000.0,04.03 14:47
CORELENS,32200.0,200.0,"0,63%",8,7 757,32700.0,32800.0,32200.0,01.04 17:00
CREEPYJAR,9540000.0,-140000.0,"-1,45%",117,504 422,9600000.0,9680000.0,9520000.0,01.04 17:00
CTE,1300.0,10.0,"0,78%",4,1 391,1300.0,1300.0,1300.0,07.01 11:22
CZARNKOW,3300.0,100.0,"3,13%",16,11 613,3300.0,3300.0,3300.0,01.04 15:00
DAMFINW,21100.0,0.0,"0,00%",12,985,21100.0,21100.0,21100.0,28.12 15:53
